C-rate,Number of cycles,Yearly profits [kEUR/MW],Levelized ROI [%],DE_profit,AT_profit,CH_profit,HU_profit,CZ_profit,DE_ROI,AT_ROI,CH_ROI,HU_ROI,CZ_ROI
0.25,1.0,36.64734453699792,42.79624107633122,39.62885836071484,40.00925456024312,31.320007842736977,18.7372468302017,53.54135509109299,59.00096248176322,83.07047044491844,4.645682391550338,-29.534772156777393,96.7988622202015
0.25,1.5,37.35578742018921,46.00735004390975,40.616467839840176,40.9343686327232,28.031521806479617,27.797182882251768,49.399395939651285,62.96350049655274,87.30351778173224,-6.34173073513692,4.536960149364347,81.57450252703637
0.25,2.0,39.91259569852926,56.308523867392886,42.9109224072733,43.59680865295294,26.598112345096872,38.00380215579254,48.45333293153063,72.16943020746766,99.48605285748383,-11.131005118019502,42.92102794420251,78.0971134458299
0.33,1.0,45.3310824694186,76.44716671732829,48.70899461403097,49.61949722564123,40.601081150024235,19.45429854714049,68.27154081025601,95.43275646889572,127.04408767877993,35.65538885279258,-26.838153327589335,150.9417539137626
0.33,1.5,45.487750710801926,77.94928669533007,49.50277182247562,51.9316221015311,35.66797779630721,26.897396198019052,63.438985635676666,98.61759058624446,137.62368465975362,19.173018562535006,1.153129307548312,133.17901036056895
0.33,2.0,45.82411935644716,79.6013368284219,49.864135395204,52.24850393465487,32.875242418358305,35.56729094133659,58.565424092682065,100.06747226960428,139.07364184848524,9.841996015161655,33.758031938168784,115.26554207068958
0.5,1.0,64.291738720369,149.92503189893606,68.45468468887164,70.05965280821647,59.57258005457993,22.13143723708274,101.2403388130942,174.65743910266593,220.57217110845127,99.04252013405636,-16.770228756588963,272.12325790609566
0.5,1.5,60.83032718838017,138.08476797069844,67.12107855433909,71.56523535079515,50.2872536102154,26.85038520127743,88.32768322527383,169.30667534782452,227.4612698280615,68.01860319004572,0.9763348923092678,224.6609565952511
0.5,2.0,58.58892034798639,130.55496728066373,65.61190380896178,72.72511064570314,42.9163146342738,33.23125168801983,78.46002096297339,163.25148609952555,232.76851482000512,43.39099316910014,24.972881177900717,188.39096113678715
